COUNTRY,SOVEREIGN,GID,CONTINENT,SRI,SRI_category,coastflood,rivflood,watersc,heatwvs,pm25,cyclns
Palestine,Palestine,PSE,Asia,"5.407287595801561",High,"0.0","6.887220772081199","8.419676007503545","7.244146301125195","4.76635799050301","0.0"
Panama,Panama,PAN,North America,"4.142663533535721",Medium-High,"1.843133882819281","4.891476180417063","0.0","8.800798817714737","4.146759306261317","0.0"
Papua New Guinea,Papua New Guinea,PNG,Oceania,"5.300544634953859",Medium-High,"4.135328491591911","7.810919131353352","0.0","8.847505397954833","4.135447601660648","1.582383624643553"
Paraguay,Paraguay,PRY,South America,"4.044104860499621",Medium-High,"0.0","2.645823319346567","2.26029650572467","9.103292534852194","4.403800288255549","0.0"
Peru,Peru,PER,South America,"5.490360445053081",High,"0.0","7.81854673961312","7.614073303237142","5.523710792695992","7.140964432217878","0.0"
Philippines,Philippines,PHL,Asia,"8.381292981247135",Extremely High,"8.701225330180929","8.992918862847029","7.053171333490537","8.909383956082248","4.91268121148366","9.647284430194745"
Poland,Poland,POL,Europe,"4.9462974508757",Medium-High,"0.0","1.18775105313882","6.649289891503408","9.548050663256824","4.686334157486203","0.0"
Portugal,Portugal,PRT,Europe,"4.6800480982825",Medium-High,"0.0","0.0","7.781993820000979","9.023105559197994","3.691803593554762","0.0"
Qatar,Qatar,QAT,Asia,"5.771289459904479",High,"0.0","0.0","8.584898174117518","8.476283313707965","8.572092709377728","0.0"
Republic of the Congo,Republic of the Congo,COG,Africa,"3.332951720818449",Low-Medium,"0.0","1.816747611463501","0.0","8.538441621015053","4.359849931433661","0.0"
Romania,Romania,ROU,Europe,"4.81978837033249",Medium-High,"0.0","5.47080366147169","4.350188595223639","9.13899129290775","4.432367469918678","0.0"
Russia,Russia,RUS,Europe,"5.397391477914444",Medium-High,"2.32984086291884","5.243379053528842","5.529703443226588","9.243973131154034","4.53225060821711","1.261590254380321"
Rwanda,Rwanda,RWA,Africa,"5.015560276223098",Medium-High,"0.0","5.211094246518085","0.0","8.625418148200017","8.561320383715593","0.0"
Saudi Arabia,Saudi Arabia,SAU,Asia,"6.605604522316056",High,"1.507943458180962","3.781710313505476","9.082941268407216","8.956944523965266","8.662962958645139","0.0"
Senegal,Senegal,SEN,Africa,"5.860135142354135",High,"3.933843561913754","5.924032499818755","6.964913097451062","6.432838942417225","8.498557539539217","0.0"
Serbia,Serbia,SRB,Europe,"4.47667066757965",Medium-High,"0.0","4.281040150771315","4.440429699766352","8.90618812132592","4.235331037750699","0.0"
Sierra Leone,Sierra Leone,SLE,Africa,"5.427473762641442",High,"2.388973867060681","8.989364465509444","0.0","8.952486244539648","4.275937349548373","0.0"
Singapore,Singapore,SGP,Asia,"3.106534233184215",Low-Medium,"0.0","0.0","0.0","8.67581437107354","4.024339599871167","0.0"
Slovakia,Slovakia,SVK,Europe,"3.866232040463938",Medium-High,"0.0","3.651256281806026","0.0","9.025245596895276","4.336292173599336","0.0"
Slovenia,Slovenia,SVN,Europe,"3.171925011471838",Low-Medium,"0.0","0.0","0.0","8.768665340561268","4.097262534504538","0.0"
Somalia,Somalia,SOM,Africa,"4.724477501826546",Medium-High,"0.0","5.805217241961874","5.661590255663959","8.403976270516536","4.088635080185218","0.0"
South Africa,South Africa,ZAF,Africa,"5.405206302087278",High,"0.0","4.783332822872795","8.535600036309729","7.57626575363474","6.258817671282727","0.0"
South Korea,South Korea,KOR,Asia,"3.786932702258037",Medium-High,"1.238482608596589","4.561917981794172","1.224566876618812","4.583370211466431","4.67592674305785","5.362479488131924"
South Sudan,South Sudan,SSD,Africa,"3.270980144339217",Low-Medium,"0.0","7.323958727832908","2.950698101934792","2.383035300361223","4.137118316375369","0.0"
Spain,Spain,ESP,Europe,"5.42710961929604",High,"0.0","2.966617599925498","8.247759820752096","9.309047010578578","4.611293519767266","0.0"
Sri Lanka,Sri Lanka,LKA,Asia,"6.025827625535108",High,"0.0","9.204477486309582","3.917938143370407","9.04041699616762","4.464544512059641","2.865317554893783"
Sudan,Sudan,SDN,Africa,"5.69048675085548",High,"0.343762918718621","7.170195468356176","4.970493266467638","9.088750471059935","6.77837924160262","0.0"
Suriname,Suriname,SUR,South America,"5.598886197687479",High,"6.651333636760736","8.452204651684047","0.0","8.478520581510262","3.832524850904515","0.0"
Swaziland,Swaziland,SWZ,Africa,"4.402048657926262",Medium-High,"0.0","4.615796955198584","5.148763005953936","8.48738515224105","3.841351252331248","0.0"
